Id,SalePrice
1461,132743.91589925237
1462,166315.78285898405
1463,149986.1964630937
1464,174158.85201915147
1465,228745.85153519243
1466,169553.27939552176
1467,162129.11630409057
1468,159373.74817158005
1469,206381.3758798161
1470,93623.12310982935
1471,206378.6104509819
1472,123371.40580993463
1473,104746.2802439922
1474,164663.05993472828
1475,158119.9193548064
1476,322042.0673453689
1477,267896.47559061414
1478,298101.25590107834
1479,276483.78926434566
1480,382980.3106235429
1481,296278.35447276954
1482,233261.7643458652
1483,172886.27119014584
1484,186903.93815829555
1485,181347.58644108524
1486,202009.08028803932
1487,316830.15461231605
1488,273258.0743542665
1489,208122.45715161125
1490,189339.80195330104
1491,200442.3135408405
1492,123647.0624335731
1493,186458.06173125797
1494,285673.6548611253
1495,283842.56133302883
1496,216422.3370552171
1497,212098.39279852642
1498,176677.98347953302
1499,176677.98347953302
1500,151343.17583581462
1501,164890.47102639123
1502,170260.3588033647
1503,258473.01222264467
1504,247193.29162089733
1505,222013.6911742922
1506,214806.61811748942
1507,233102.97049398828
1508,209988.93573374613
1509,174350.44365582764
1510,142694.94140192546
1511,141811.33825790757
1512,164917.94359532176
1513,187622.2646734993
1514,147204.69537091537
1515,211280.61601523202
1516,175832.10200192235
1517,152443.13080989535
1518,173625.58987456406
1519,221664.66472596143
1520,125382.31973233263
1521,130293.83012191707
1522,192476.2509279468
1523,95476.0589719885
1524,121847.13494351986
1525,113383.4667546851
1526,112159.1562332316
1527,110151.2559138338
1528,144876.59012520214
1529,138111.12902713253
1530,177874.37302116692
1531,122639.20784474633
1532,92769.04061534276
1533,154819.32678961052
1534,143161.99038163657
1535,138118.28863351594
1536,127636.8016711094
1537,50258.17292787993
1538,215716.65840169127
1539,272881.05703037966
1540,149728.20827055132
1541,176495.4658918044
1542,144538.43751896764
1543,218381.60136903872
1544,65819.8930503671
1545,132102.96172692956
1546,161198.79632849307
1547,128101.80277337291
1548,153080.42253516152
1549,121962.50208182048
1550,144975.03526290666
1551,146401.26994154556
1552,138945.46652940058
1553,140085.81958891227
1554,137681.42848297642
1555,166483.0450007705
1556,108413.75849200008
1557,120172.17366128232
1558,122111.07963086883
1559,105334.26858166236
1560,149687.60238216465
1561,129772.26354152896
1562,113975.25792108281
1563,104766.61568297714
1564,159972.45306259385
1565,134381.45033214858
1566,228615.7746571961
1567,79270.40412909677
1568,198571.41118497678
1569,97361.27804228404
1570,156506.52468631338
1571,108516.41482742244
1572,131817.01275075987
1573,222659.6192983119
1574,149287.57594815316
1575,215374.48931298938
1576,215209.60823089458
1577,203090.54580333785
1578,166032.45000171915
1579,129911.55780540974
1580,205464.72877558784
1581,117568.12112459849
1582,116787.90417555225
1583,298181.24150801846
1584,233218.6131927242
1585,138707.05010178796
1586,31132.404044126946
1587,114821.38121815614
1588,130963.4299175977
1589,97615.24737951925
1590,152244.52563110934
1591,67658.22445984383
1592,134785.27626379512
1593,138065.48121637566
1594,133385.04514836453
1595,121309.19812176665
1596,223029.77185087095
1597,174848.04525824342
1598,203245.37970821073
1599,216768.68082861844
1600,223610.4704853877
1601,-4665.278626400046
1602,157354.60332283724
1603,86477.41340088192
1604,257030.0725987774
1605,259918.9583130758
1606,172521.05157513
1607,244369.17655369194
1608,214941.7239713877
1609,196908.1537617191
1610,130591.44789998658
1611,146435.41487736633
1612,164404.25035806865
1613,161668.1537917561
1614,108320.36347649505
1615,60549.7492757373
1616,60549.7492757373
1617,77374.34259583111
1618,108874.25642074138
1619,114243.3109049768
1620,198045.00472167475
1621,130745.08758322688
1622,127597.67831248723
1623,265283.7162404497
1624,198094.94141831432
1625,145184.37338739535
1626,185945.9623037782
1627,174920.21057620962
1628,267646.6435938763
1629,198374.01866997118
1630,321735.27608161885
1631,242795.38473871376
1632,262868.2158058797
1633,181675.11700288797
1634,174583.46519098643
1635,159982.2961784084
1636,162940.0650545668
1637,168738.6571007072
1638,230006.1406989188
1639,200948.987616025
1640,262832.2208189324
1641,203326.96645037053
1642,222480.8997098411
1643,250652.77966459477
1644,243911.3843188626
1645,169992.52696405517
1646,163212.45449267546
1647,195396.01387932574
1648,138070.46537614698
1649,120126.51875495186
1650,94417.07988098104
1651,94417.07988098104
1652,123371.40580993463
1653,124783.25979483762
1654,166193.80080035297
1655,182140.48301574154
1656,164663.05993472828
1657,166193.80080035297
1658,164663.05993472828
1659,159426.35217536488
1660,145017.19328438144
1661,346338.09492468124
1662,337718.522960522
1663,331767.16418961575
1664,398449.7875525126
1665,307039.8557547026
1666,289327.06925384665
1667,292981.9877872536
